id, alive, drg_code, description
"721", "1", "U60B",  "Mental Health Treatment W/O ECT, Sameday, Minor Complexity"
"722", "1", "U61A",  "Schizophrenia Disorders, Major Complexity"
"723", "1", "U61B",  "Schizophrenia Disorders, Minor Complexity"
"724", "1", "U62A",  "Paranoia and Acute Psychotic Disorders, Major Complexity"
"725", "1", "U62B",  "Paranoia and Acute Psychotic Disorders, Minor Complexity"
"726", "1", "U63A",  "Major Affective Disorders, Major Complexity"
"727", "1", "U63B",  "Major Affective Disorders, Minor Complexity"
"728", "1", "U64A",  "Other Affective and Somatoform Disorders, Major Complexity"
"729", "1", "U64B",  "Other Affective and Somatoform Disorders, Minor Complexity"
"730", "1", "U65A",  "Anxiety Disorders, Major Complexity"
"731", "1", "U65B",  "Anxiety Disorders, Minor Complexity"
"732", "1", "U66A",  "Eating and Obsessive-Compulsive Disorders, Major Complexity"
"733", "1", "U66B",  "Eating and Obsessive-Compulsive Disorders, Minor Complexity"
"734", "1", "U67A",  "Personality Disorders and Acute Reactions, Major Complexity"
"735", "1", "U67B",  "Personality Disorders and Acute Reactions, Minor Complexity"
"736", "1", "U68A",  "Childhood Mental Disorders, Major Complexity"
"737", "1", "U68B",  "Childhood Mental Disorders, Minor Complexity"
"738", "1", "V60A",  "Alcohol Intoxication and Withdrawal, Major Complexity"
"739", "1", "V60B",  "Alcohol Intoxication and Withdrawal, Minor Complexity"
"740", "1", "V61A",  "Drug Intoxication and Withdrawal, Major Complexity"
"741", "1", "V61B",  "Drug Intoxication and Withdrawal, Minor Complexity"
"742", "1", "V62A",  "Alcohol Use and Dependence, Major Complexity"
"743", "1", "V62B",  "Alcohol Use and Dependence, Minor Complexity"
"744", "1", "V63Z",  "Opioid Use and Dependence"
"745", "1", "V64Z",  "Other Drug Use and Dependence"
"746", "1", "V65Z",  "Treatment for Alcohol Disorders, Sameday"
"747", "1", "V66Z",  "Treatment for Drug Disorders, Sameday"
"748", "1", "W01A",  "Vent, Trac & Cran Procs for Mult Sig Trauma, Major Complexity"
"749", "1", "W01B",  "Vent, Trac & Cran Procs for Mult Sig Trauma, Intermediate Complexity"
"750", "1", "W01C",  "Vent, Trac & Cran Procs for Mult Sig Trauma, Minor Complexity"
"751", "1", "W02A",  "Hip, Femur and Lower Limb Procedures for Multiple Sig Trauma, Major Complexity"
"752", "1", "W02B",  "Hip, Femur and Lower Limb Procedures for Multiple Sig Trauma, Minor Complexity"
"753", "1", "W03Z",  "Abdominal Procedures for Multiple Significant Trauma"
"754", "1", "W04A",  "Multiple Significant Trauma W Other OR Procedures, Major Complexity"
"755", "1", "W04B",  "Multiple Significant Trauma W Other OR Procedures, Minor Complexity"
"756", "1", "W60A",  "Multiple Sig Trauma, Died or Transferred to Acute Facility <5 Days, Major Comp"
"757", "1", "W60B",  "Multiple Sig Trauma, Died or Transferred to Acute Facility <5 Days, Minor Comp"
"758", "1", "W61A",  "Multiple Significant Trauma W/O OR Procedures, Major Complexity"
"759", "1", "W61B",  "Multiple Significant Trauma W/O OR Procedures, Minor Complexity"
"760", "1", "X02A",  "Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Major Comp"
"761", "1", "X02B",  "Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Minor Comp"
"762", "1", "X04A",  "Other Procedures for Injuries to Lower Limb, Major Complexity"
"763", "1", "X04B",  "Other Procedures for Injuries to Lower Limb, Minor Complexity"
"764", "1", "X05A",  "Other Procedures for Injuries to Hand, Major Complexity"
"765", "1", "X05B",  "Other Procedures for Injuries to Hand, Minor Complexity"
"766", "1", "X06A",  "Other Procedures for Other Injuries, Major Complexity"
"767", "1", "X06B",  "Other Procedures for Other Injuries, Intermediate Complexity"
"768", "1", "X06C",  "Other Procedures for Other Injuries, Minor Complexity"
"769", "1", "X07A",  "Skin Grafts for Injuries Excluding Hand, Major Complexity"
"770", "1", "X07B",  "Skin Grafts for Injuries Excluding Hand, Intermediate Complexity"
"771", "1", "X07C",  "Skin Grafts for Injuries Excluding Hand, Minor Complexity"
"772", "1", "X40A",  "Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Major Comp"
"773", "1", "X40B",  "Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Minor Comp"
"774", "1", "X60A",  "Injuries, Major Complexity"
"775", "1", "X60B",  "Injuries, Minor Complexity"
"776", "1", "X61A",  "Allergic Reactions, Major Complexity"
"777", "1", "X61B",  "Allergic Reactions, Minor Complexity"
"778", "1", "X62A",  "Poisoning/Toxic Effects of Drugs and Other Substances, Major Complexity"
"779", "1", "X62B",  "Poisoning/Toxic Effects of Drugs and Other Substances, Minor Complexity"
"780", "1", "X63A",  "Sequelae of Treatment, Major Complexity"
"781", "1", "X63B",  "Sequelae of Treatment, Minor Complexity"
"782", "1", "X64A",  "Other Injuries, Poisonings and Toxic Effects, Major Complexity"
"783", "1", "X64B",  "Other Injuries, Poisonings and Toxic Effects, Minor Complexity"
"784", "1", "Y01Z",  "Vent >=96hrs or Trach for Burns or OR Procs for Severe Full Thickness Burns"
"785", "1", "Y02A",  "Skin Grafts for Other Burns, Major Complexity"
"786", "1", "Y02B",  "Skin Grafts for Other Burns, Intermediate Complexity"
"787", "1", "Y02C",  "Skin Grafts for Other Burns, Minor Complexity"
"788", "1", "Y03A",  "Other OR Procedures for Other Burns, Major Complexity"
"789", "1", "Y03B",  "Other OR Procedures for Other Burns, Minor Complexity"
"790", "1", "Y60Z",  "Burns, Transferred to Acute Facility <5 Days"
"791", "1", "Y61Z",  "Severe Burns"
"792", "1", "Y62A",  "Other Burns, Major Complexity"
"793", "1", "Y62B",  "Other Burns, Minor Complexity"
"794", "1", "Z01A",  "Other Contacts W Health Services W OR Procedures, Major Complexity"
"795", "1", "Z01B",  "Other Contacts W Health Services W OR Procedures, Minor Complexity"
"796", "1", "Z40Z",  "Other Contacts W Health Services W Endoscopy, Sameday"
"797", "1", "Z60A",  "Rehabilitation, Major Complexity"
"798", "1", "Z60B",  "Rehabilitation, Minor Complexity"
"799", "1", "Z61A",  "Signs and Symptoms, Major Complexity"
"800", "1", "Z61B",  "Signs and Symptoms, Intermediate Complexity"
"801", "1", "Z61C",  "Signs and Symptoms, Minor Complexity"
"802", "1", "Z63A",  "Other Follow Up After Surgery or Medical Care, Major Complexity"
"803", "1", "Z63B",  "Other Follow Up After Surgery or Medical Care, Minor Complexity"
"804", "1", "Z64A",  "Other Factors Influencing Health Status, Major Complexity"
"805", "1", "Z64B",  "Other Factors Influencing Health Status, Minor Complexity"
"806", "1", "Z65Z",  "Congenital Anomalies and Problems Arising from Neonatal Period"
"807", "1", "Z66Z",  "Sleep Disorders"
